day,return
2017/12/31,0
2017/12/30,0
2017/12/29,0.00297544
2017/12/28,0.0069375
2017/12/27,-0.01539709
2017/12/26,0.00298945
2017/12/25,-0.00322054
2017/12/24,0
2017/12/23,0
2017/12/22,-0.0032575
2017/12/21,0.0092691
2017/12/20,-0.00119916
2017/12/19,0.01255567
2017/12/18,0.00111408
2017/12/17,0
2017/12/16,0
2017/12/15,-0.01125044
2017/12/14,-0.00591122
2017/12/13,0.00848527
2017/12/12,-0.01314265
2017/12/11,0.0165163
2017/12/10,0
2017/12/9,0
2017/12/8,0.00813939
2017/12/7,-0.01114691
2017/12/6,-0.00602673
2017/12/5,0.00530325
2017/12/4,0.00518241
2017/12/3,0
2017/12/2,0
2017/12/1,-0.00198747
2017/11/30,-0.01175553
2017/11/29,-0.00051062
2017/11/28,0.00145088
2017/11/27,-0.01321938
2017/11/26,0
2017/11/25,0
2017/11/24,0.00044023
2017/11/23,-0.02960805
2017/11/22,0.00233895
2017/11/21,0.01782625
2017/11/20,0.005577
2017/11/19,0
2017/11/18,0
2017/11/17,0.00385845
2017/11/16,0.0076938
2017/11/15,-0.00626465
2017/11/14,-0.00695773
2017/11/13,0.00393053
2017/11/12,0
2017/11/11,0
2017/11/10,0.0088351
2017/11/9,0.0068908
2017/11/8,-0.00153937
2017/11/7,0.00829592
2017/11/6,0.00706089
2017/11/5,0
2017/11/4,0
2017/11/3,-0.0011098
2017/11/2,0.00012811
2017/11/1,-0.00251977
2017/10/31,-0.00074918
2017/10/30,-0.00304478
2017/10/29,0
2017/10/28,0
2017/10/27,0.00710967
2017/10/26,0.00418059
2017/10/25,0.00443351
2017/10/24,0.00727511
2017/10/23,0.00100488
2017/10/22,0
2017/10/21,0
2017/10/20,-0.00111873
2017/10/19,-0.00327395
2017/10/18,0.00794619
2017/10/17,-0.00009633
2017/10/16,-0.00192706
2017/10/15,0
2017/10/14,0
2017/10/13,0.00205676
2017/10/12,0.00263075
2017/10/11,0.00329652
2017/10/10,0.00197207
2017/10/9,0.01191372
2017/10/8,0
2017/10/7,0
2017/10/6,0
2017/10/5,0
2017/10/4,0
2017/10/3,0
2017/10/2,0
2017/10/1,0
2017/9/30,0
2017/9/29,0.00365255
2017/9/28,0.00035041
2017/9/27,0.0001094
2017/9/26,0.00078318
2017/9/25,-0.00519526
2017/9/24,0
2017/9/23,0
2017/9/22,-0.00002293
2017/9/21,-0.00120158
2017/9/20,0.00269277
2017/9/19,-0.00286927
2017/9/18,0.0030919
2017/9/17,0
2017/9/16,0
