Indexcd,Year,Month,Trddt,Retidx,
300,2017,2017/12/1,2017/12/29,0.297544,1.00297544
300,2017,2017/12/1,2017/12/28,0.69375,1.0069375
300,2017,2017/12/1,2017/12/27,-1.539709,0.98460291
300,2017,2017/12/1,2017/12/26,0.298945,1.00298945
300,2017,2017/12/1,2017/12/25,-0.322054,0.99677946
300,2017,2017/12/1,2017/12/22,-0.32575,0.9967425
300,2017,2017/12/1,2017/12/21,0.92691,1.0092691
300,2017,2017/12/1,2017/12/20,-0.119916,0.99880084
300,2017,2017/12/1,2017/12/19,1.255567,1.01255567
300,2017,2017/12/1,2017/12/18,0.111408,1.00111408
300,2017,2017/12/1,2017/12/15,-1.125044,0.98874956
300,2017,2017/12/1,2017/12/14,-0.591122,0.99408878
300,2017,2017/12/1,2017/12/13,0.848527,1.00848527
300,2017,2017/12/1,2017/12/12,-1.314265,0.98685735
300,2017,2017/12/1,2017/12/11,1.65163,1.0165163
300,2017,2017/12/1,2017/12/8,0.813939,1.00813939
300,2017,2017/12/1,2017/12/7,-1.114691,0.98885309
300,2017,2017/12/1,2017/12/6,-0.602673,0.99397327
300,2017,2017/12/1,2017/12/5,0.530325,1.00530325
300,2017,2017/12/1,2017/12/4,0.518241,1.00518241
300,2017,2017/12/1,2017/12/1,-0.198747,0.99801253
300,2017,2017/11/1,2017/11/30,-1.175553,0.98824447
300,2017,2017/11/1,2017/11/29,-0.051062,0.99948938
300,2017,2017/11/1,2017/11/28,0.145088,1.00145088
300,2017,2017/11/1,2017/11/27,-1.321938,0.98678062
300,2017,2017/11/1,2017/11/24,0.044023,1.00044023
300,2017,2017/11/1,2017/11/23,-2.960805,0.97039195
300,2017,2017/11/1,2017/11/22,0.233895,1.00233895
300,2017,2017/11/1,2017/11/21,1.782625,1.01782625
300,2017,2017/11/1,2017/11/20,0.5577,1.005577
300,2017,2017/11/1,2017/11/17,0.385845,1.00385845
300,2017,2017/11/1,2017/11/16,0.76938,1.0076938
300,2017,2017/11/1,2017/11/15,-0.626465,0.99373535
300,2017,2017/11/1,2017/11/14,-0.695773,0.99304227
300,2017,2017/11/1,2017/11/13,0.393053,1.00393053
300,2017,2017/11/1,2017/11/10,0.88351,1.0088351
300,2017,2017/11/1,2017/11/9,0.68908,1.0068908
300,2017,2017/11/1,2017/11/8,-0.153937,0.99846063
300,2017,2017/11/1,2017/11/7,0.829592,1.00829592
300,2017,2017/11/1,2017/11/6,0.706089,1.00706089
300,2017,2017/11/1,2017/11/3,-0.11098,0.9988902
300,2017,2017/11/1,2017/11/2,0.012811,1.00012811
300,2017,2017/11/1,2017/11/1,-0.251977,0.99748023
300,2017,2017/10/1,2017/10/31,-0.074918,0.99925082
300,2017,2017/10/1,2017/10/30,-0.304478,0.99695522
300,2017,2017/10/1,2017/10/27,0.710967,1.00710967
300,2017,2017/10/1,2017/10/26,0.418059,1.00418059
300,2017,2017/10/1,2017/10/25,0.443351,1.00443351
300,2017,2017/10/1,2017/10/24,0.727511,1.00727511
300,2017,2017/10/1,2017/10/23,0.100488,1.00100488
300,2017,2017/10/1,2017/10/20,-0.111873,0.99888127
300,2017,2017/10/1,2017/10/19,-0.327395,0.99672605
300,2017,2017/10/1,2017/10/18,0.794619,1.00794619
300,2017,2017/10/1,2017/10/17,-0.009633,0.99990367
300,2017,2017/10/1,2017/10/16,-0.192706,0.99807294
300,2017,2017/10/1,2017/10/13,0.205676,1.00205676
300,2017,2017/10/1,2017/10/12,0.263075,1.00263075
300,2017,2017/10/1,2017/10/11,0.329652,1.00329652
300,2017,2017/10/1,2017/10/10,0.197207,1.00197207
300,2017,2017/10/1,2017/10/9,1.191372,1.01191372
300,2017,2017/9/1,2017/9/29,0.365255,1.00365255
300,2017,2017/9/1,2017/9/28,0.035041,1.00035041
300,2017,2017/9/1,2017/9/27,0.01094,1.0001094
300,2017,2017/9/1,2017/9/26,0.078318,1.00078318
300,2017,2017/9/1,2017/9/25,-0.519526,0.99480474
300,2017,2017/9/1,2017/9/22,-0.002293,0.99997707
300,2017,2017/9/1,2017/9/21,-0.120158,0.99879842
300,2017,2017/9/1,2017/9/20,0.269277,1.00269277
300,2017,2017/9/1,2017/9/19,-0.286927,0.99713073
300,2017,2017/9/1,2017/9/18,0.30919,1.0030919
300,2017,2017/9/1,2017/9/15,0.03504,1.0003504
300,2017,2017/9/1,2017/9/14,-0.32923,0.9967077
300,2017,2017/9/1,2017/9/13,0.121732,1.00121732
300,2017,2017/9/1,2017/9/12,0.321227,1.00321227
300,2017,2017/9/1,2017/9/11,-0.009017,0.99990983
300,2017,2017/9/1,2017/9/8,-0.101335,0.99898665
300,2017,2017/9/1,2017/9/7,-0.508618,0.99491382
300,2017,2017/9/1,2017/9/6,-0.196938,0.99803062
300,2017,2017/9/1,2017/9/5,0.297222,1.00297222
300,2017,2017/9/1,2017/9/4,0.393626,1.00393626
300,2017,2017/9/1,2017/9/1,0.220952,1.00220952
300,2017,2017/8/1,2017/8/31,-0.318389,0.99681611
300,2017,2017/8/1,2017/8/30,-0.006181,0.99993819
300,2017,2017/8/1,2017/8/29,-0.212714,0.99787286
300,2017,2017/8/1,2017/8/28,1.237119,1.01237119
300,2017,2017/8/1,2017/8/25,1.636246,1.01636246
300,2017,2017/8/1,2017/8/24,-0.57086,0.9942914
300,2017,2017/8/1,2017/8/23,0.101005,1.00101005
300,2017,2017/8/1,2017/8/22,0.302166,1.00302166
300,2017,2017/8/1,2017/8/21,0.438132,1.00438132
300,2017,2017/8/1,2017/8/18,0.091313,1.00091313
300,2017,2017/8/1,2017/8/17,0.536443,1.00536443
300,2017,2017/8/1,2017/8/16,-0.125093,0.99874907
300,2017,2017/8/1,2017/8/15,0.307848,1.00307848
300,2017,2017/8/1,2017/8/14,1.297737,1.01297737
300,2017,2017/8/1,2017/8/11,-1.84533,0.9815467
300,2017,2017/8/1,2017/8/10,-0.405329,0.99594671
300,2017,2017/8/1,2017/8/9,-0.031322,0.99968678
300,2017,2017/8/1,2017/8/8,0.14538,1.0014538
300,2017,2017/8/1,2017/8/7,0.518263,1.00518263
300,2017,2017/8/1,2017/8/4,-0.543105,0.99456895
300,2017,2017/8/1,2017/8/3,-0.878178,0.99121822
300,2017,2017/8/1,2017/8/2,-0.252759,0.99747241
300,2017,2017/8/1,2017/8/1,0.869746,1.00869746
300,2017,2017/7/1,2017/7/31,0.429405,1.00429405
300,2017,2017/7/1,2017/7/28,0.261193,1.00261193
300,2017,2017/7/1,2017/7/27,0.183705,1.00183705
300,2017,2017/7/1,2017/7/26,-0.380986,0.99619014
300,2017,2017/7/1,2017/7/25,-0.638712,0.99361288
300,2017,2017/7/1,2017/7/24,0.398836,1.00398836
300,2017,2017/7/1,2017/7/21,-0.514584,0.99485416
300,2017,2017/7/1,2017/7/20,0.48628,1.0048628
300,2017,2017/7/1,2017/7/19,1.706106,1.01706106
300,2017,2017/7/1,2017/7/18,0.098893,1.00098893
300,2017,2017/7/1,2017/7/17,-1.067648,0.98932352
300,2017,2017/7/1,2017/7/14,0.438659,1.00438659
300,2017,2017/7/1,2017/7/13,0.767924,1.00767924
300,2017,2017/7/1,2017/7/12,-0.326495,0.99673505
300,2017,2017/7/1,2017/7/11,0.468623,1.00468623
300,2017,2017/7/1,2017/7/10,-0.061325,0.99938675
300,2017,2017/7/1,2017/7/7,-0.113877,0.99886123
300,2017,2017/7/1,2017/7/6,0.011394,1.00011394
300,2017,2017/7/1,2017/7/5,1.096579,1.01096579
300,2017,2017/7/1,2017/7/4,-0.845338,0.99154662
300,2017,2017/7/1,2017/7/3,-0.435039,0.99564961
300,2017,2017/6/1,2017/6/30,-0.055331,0.99944669
300,2017,2017/6/1,2017/6/29,0.621502,1.00621502
300,2017,2017/6/1,2017/6/28,-0.776877,0.99223123
300,2017,2017/6/1,2017/6/27,0.180557,1.00180557
300,2017,2017/6/1,2017/6/26,1.247874,1.01247874
300,2017,2017/6/1,2017/6/23,0.90632,1.0090632
300,2017,2017/6/1,2017/6/22,0.066556,1.00066556
300,2017,2017/6/1,2017/6/21,1.16907,1.0116907
300,2017,2017/6/1,2017/6/20,-0.201792,0.99798208
300,2017,2017/6/1,2017/6/19,0.99194,1.0099194
300,2017,2017/6/1,2017/6/16,-0.28429,0.9971571
300,2017,2017/6/1,2017/6/15,-0.18403,0.9981597
300,2017,2017/6/1,2017/6/14,-1.311125,0.98688875
300,2017,2017/6/1,2017/6/13,0.220401,1.00220401
300,2017,2017/6/1,2017/6/12,-0.049802,0.99950198
300,2017,2017/6/1,2017/6/9,0.426596,1.00426596
300,2017,2017/6/1,2017/6/8,0.767062,1.00767062
300,2017,2017/6/1,2017/6/7,1.173529,1.01173529
300,2017,2017/6/1,2017/6/6,0.695581,1.00695581
300,2017,2017/6/1,2017/6/5,-0.509192,0.99490808
300,2017,2017/6/1,2017/6/2,-0.321093,0.99678907
300,2017,2017/6/1,2017/6/1,0.13894,1.0013894
300,2017,2017/5/1,2017/5/31,0.357714,1.00357714
300,2017,2017/5/1,2017/5/26,-0.149843,0.99850157
300,2017,2017/5/1,2017/5/25,1.795794,1.01795794
300,2017,2017/5/1,2017/5/24,-0.000789,0.99999211
300,2017,2017/5/1,2017/5/23,0.379774,1.00379774
300,2017,2017/5/1,2017/5/22,0.217107,1.00217107
300,2017,2017/5/1,2017/5/19,0.1688,1.001688
300,2017,2017/5/1,2017/5/18,-0.347599,0.99652401
300,2017,2017/5/1,2017/5/17,-0.544909,0.99455091
300,2017,2017/5/1,2017/5/16,0.866529,1.00866529
300,2017,2017/5/1,2017/5/15,0.408078,1.00408078
300,2017,2017/5/1,2017/5/12,0.856003,1.00856003
300,2017,2017/5/1,2017/5/11,0.567606,1.00567606
300,2017,2017/5/1,2017/5/10,-0.442382,0.99557618
300,2017,2017/5/1,2017/5/9,-0.187001,0.99812999
300,2017,2017/5/1,2017/5/8,-0.701749,0.99298251
300,2017,2017/5/1,2017/5/5,-0.641408,0.99358592
300,2017,2017/5/1,2017/5/4,-0.256129,0.99743871
300,2017,2017/5/1,2017/5/3,-0.392491,0.99607509
300,2017,2017/5/1,2017/5/2,-0.383051,0.99616949
300,2017,2017/4/1,2017/4/28,-0.202134,0.99797866
300,2017,2017/4/1,2017/4/27,0.044613,1.00044613
300,2017,2017/4/1,2017/4/26,0.12232,1.0012232
300,2017,2017/4/1,2017/4/25,0.283132,1.00283132
300,2017,2017/4/1,2017/4/24,-1.024811,0.98975189
300,2017,2017/4/1,2017/4/21,0.151348,1.00151348
300,2017,2017/4/1,2017/4/20,0.454805,1.00454805
300,2017,2017/4/1,2017/4/19,-0.487099,0.99512901
300,2017,2017/4/1,2017/4/18,-0.494232,0.99505768
300,2017,2017/4/1,2017/4/17,-0.18824,0.9981176
300,2017,2017/4/1,2017/4/14,-0.79842,0.9920158
300,2017,2017/4/1,2017/4/13,0.146092,1.00146092
300,2017,2017/4/1,2017/4/12,-0.22429,0.9977571
300,2017,2017/4/1,2017/4/11,0.347747,1.00347747
300,2017,2017/4/1,2017/4/10,-0.350366,0.99649634
300,2017,2017/4/1,2017/4/7,0.09721,1.0009721
300,2017,2017/4/1,2017/4/6,0.289792,1.00289792
300,2017,2017/4/1,2017/4/5,1.384443,1.01384443
300,2017,2017/3/1,2017/3/31,0.561227,1.00561227
300,2017,2017/3/1,2017/3/30,-0.820589,0.99179411
300,2017,2017/3/1,2017/3/29,-0.133033,0.99866967
300,2017,2017/3/1,2017/3/28,-0.236628,0.99763372
300,2017,2017/3/1,2017/3/27,-0.331299,0.99668701
300,2017,2017/3/1,2017/3/24,0.797868,1.00797868
300,2017,2017/3/1,2017/3/23,0.345734,1.00345734
300,2017,2017/3/1,2017/3/22,-0.470149,0.99529851
300,2017,2017/3/1,2017/3/21,0.485098,1.00485098
300,2017,2017/3/1,2017/3/20,0.110511,1.00110511
300,2017,2017/3/1,2017/3/17,-1.025475,0.98974525
300,2017,2017/3/1,2017/3/16,0.515729,1.00515729
300,2017,2017/3/1,2017/3/15,0.201088,1.00201088
300,2017,2017/3/1,2017/3/14,-0.040629,0.99959371
300,2017,2017/3/1,2017/3/13,0.881183,1.00881183
300,2017,2017/3/1,2017/3/10,0.027663,1.00027663
300,2017,2017/3/1,2017/3/9,-0.63174,0.9936826
300,2017,2017/3/1,2017/3/8,-0.151305,0.99848695
300,2017,2017/3/1,2017/3/7,0.21683,1.0021683
300,2017,2017/3/1,2017/3/6,0.543225,1.00543225
300,2017,2017/3/1,2017/3/3,-0.210562,0.99789438
300,2017,2017/3/1,2017/3/2,-0.674929,0.99325071
300,2017,2017/3/1,2017/3/1,0.162998,1.00162998
300,2017,2017/2/1,2017/2/28,0.191137,1.00191137
300,2017,2017/2/1,2017/2/27,-0.795342,0.99204658
300,2017,2017/2/1,2017/2/24,0.015202,1.00015202
300,2017,2017/2/1,2017/2/23,-0.470892,0.99529108
300,2017,2017/2/1,2017/2/22,0.199091,1.00199091
300,2017,2017/2/1,2017/2/21,0.329263,1.00329263
300,2017,2017/2/1,2017/2/20,1.45994,1.0145994
300,2017,2017/2/1,2017/2/17,-0.566445,0.99433555
300,2017,2017/2/1,2017/2/16,0.561707,1.00561707
300,2017,2017/2/1,2017/2/15,-0.410122,0.99589878
300,2017,2017/2/1,2017/2/14,-0.013707,0.99986293
300,2017,2017/2/1,2017/2/13,0.667587,1.00667587
300,2017,2017/2/1,2017/2/10,0.506287,1.00506287
300,2017,2017/2/1,2017/2/9,0.38436,1.0038436
300,2017,2017/2/1,2017/2/8,0.523014,1.00523014
300,2017,2017/2/1,2017/2/7,-0.222933,0.99777067
300,2017,2017/2/1,2017/2/6,0.258969,1.00258969
300,2017,2017/2/1,2017/2/3,-0.692718,0.99307282
300,2017,2017/1/1,2017/1/26,0.357149,1.00357149
300,2017,2017/1/1,2017/1/25,0.340412,1.00340412
300,2017,2017/1/1,2017/1/24,0.010999,1.00010999
300,2017,2017/1/1,2017/1/23,0.273988,1.00273988
300,2017,2017/1/1,2017/1/20,0.768933,1.00768933
300,2017,2017/1/1,2017/1/19,-0.301734,0.99698266
300,2017,2017/1/1,2017/1/18,0.391089,1.00391089
300,2017,2017/1/1,2017/1/17,0.208167,1.00208167
300,2017,2017/1/1,2017/1/16,-0.014037,0.99985963
300,2017,2017/1/1,2017/1/13,0.068965,1.00068965
300,2017,2017/1/1,2017/1/12,-0.505954,0.99494046
300,2017,2017/1/1,2017/1/11,-0.708013,0.99291987
300,2017,2017/1/1,2017/1/10,-0.167335,0.99832665
300,2017,2017/1/1,2017/1/9,0.484935,1.00484935
300,2017,2017/1/1,2017/1/6,-0.597484,0.99402516
300,2017,2017/1/1,2017/1/5,-0.015527,0.99984473
300,2017,2017/1/1,2017/1/4,0.780468,1.00780468
300,2017,2017/1/1,2017/1/3,0.971154,1.00971154
300,2017,2016/12/1,2016/12/30,0.373465,1.00373465
300,2016,2016/12/1,2016/12/29,-0.124898,0.99875102
300,2016,2016/12/1,2016/12/28,-0.437102,0.99562898
300,2016,2016/12/1,2016/12/27,-0.181074,0.99818926
300,2016,2016/12/1,2016/12/26,0.447515,1.00447515
300,2016,2016/12/1,2016/12/23,-0.8416,0.991584
300,2016,2016/12/1,2016/12/22,-0.085786,0.99914214
300,2016,2016/12/1,2016/12/21,0.890645,1.00890645
300,2016,2016/12/1,2016/12/20,-0.598351,0.99401649
300,2016,2016/12/1,2016/12/19,-0.509499,0.99490501
300,2016,2016/12/1,2016/12/16,0.167553,1.00167553
300,2016,2016/12/1,2016/12/15,-1.139734,0.98860266
300,2016,2016/12/1,2016/12/14,-0.766247,0.99233753
300,2016,2016/12/1,2016/12/13,-0.121525,0.99878475
300,2016,2016/12/1,2016/12/12,-2.41924,0.9758076
300,2016,2016/12/1,2016/12/9,0.678848,1.00678848
300,2016,2016/12/1,2016/12/8,-0.161232,0.99838768
300,2016,2016/12/1,2016/12/7,0.479713,1.00479713
300,2016,2016/12/1,2016/12/6,-0.295555,0.99704445
300,2016,2016/12/1,2016/12/5,-1.687412,0.98312588
300,2016,2016/12/1,2016/12/2,-1.01208,0.9898792
300,2016,2016/12/1,2016/12/1,0.764132,1.00764132
300,2016,2016/11/1,2016/11/30,-0.730603,0.99269397
300,2016,2016/11/1,2016/11/29,0.819189,1.00819189
300,2016,2016/11/1,2016/11/28,0.391418,1.00391418
300,2016,2016/11/1,2016/11/25,0.933231,1.00933231
