Constituent Code,weight,Constituent Name,Constituent Name(Eng.),Exchange
600000,0.0128,浦发银行,Shanghai Pudong Development Bank Co Ltd,SHH
600008,0.0011,首创股份,Beijing Capital Co Ltd,SHH
600009,0.0035,上海机场,Shanghai International Airport Co Ltd,SHH
600010,0.0031,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,SHH
600015,0.0052,华夏银行,Hua Xia Bank Co Ltd,SHH
600016,0.0184,民生银行,China Minsheng Banking Corp Ltd,SHH
600018,0.0021,上港集团,Shanghai International Port (Group) Co Ltd,SHH
600019,0.0073,宝钢股份,Baoshan Iron &Steel Co Ltd,SHH
600021,0.0007,上海电力,Shanghai Electric Power Co Ltd,SHH
600023,0.0019,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd.",SHH
600028,0.0056,中国石化,China Petroleum & Chemical Corporation,SHH
600029,0.0034,南方航空,China Southern Airlines Co Ltd,SHH
600030,0.0133,中信证券,CITIC Securities Co Ltd,SHH
600031,0.003,三一重工,Sany Heavy Industry Co Ltd,SHH
600036,0.0263,招商银行,China Merchants Bank Co Ltd,SHH
600037,0.0009,歌华有线,Beijing Gehua CATV Network Co Ltd,SHH
600038,0.0009,中直股份,"AVIC Helicopter Co.,Ltd.",SHH
600048,0.0079,保利地产,Poly Real Estate Group Co Ltd,SHH
600050,0.0056,中国联通,China United Network Communications Co Ltd,SHH
600060,0.0011,海信电器,Hisense Electric Co Ltd,SHH
600061,0.0011,国投资本,"SDIC Capital Co., Ltd",SHH
600066,0.0028,宇通客车,Zhengzhou Yutong Bus Co Ltd,SHH
600068,0.0022,葛洲坝,China Gezhouba Group Co Ltd,SHH
600074,0.0009,ST保千里,"Jiangsu Protruly Vision Technology Group Co., Ltd.",SHH
600085,0.0016,同仁堂,Beijing Tongrentang Co Ltd,SHH
600089,0.0033,特变电工,TBEA Co Ltd,SHH
600100,0.0017,同方股份,Tsinghua Tongfang Co Ltd,SHH
600104,0.0095,上汽集团,SAIC Motor Co Ltd,SHH
600109,0.002,国金证券,Sinolink Securities Co. Ltd.,SHH
600111,0.0027,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",SHH
600115,0.0019,东方航空,China Eastern Airlines Corp Ltd,SHH
600118,0.0013,中国卫星,China Spacesat Co Ltd,SHH
600150,0.0015,中国船舶,China CSSC Holdings Limited,SHH
600153,0.0014,建发股份,Xiamen C&D Inc,SHH
600157,0.0015,永泰能源,Wintime Energy Co Ltd,SHH
600170,0.0015,上海建工,Shanghai Construction Co Ltd,SHH
600177,0.0018,雅戈尔,Youngor Group Co Ltd,SHH
600188,0.0005,兖州煤业,Yanzhou Coal Mining Co Ltd,SHH
600196,0.0032,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,SHH
600208,0.0019,新湖中宝,Xinhu Zhongbao Co Ltd,SHH
600221,0.0018,海航控股,"Hainan Airlines Holding Co., Ltd.",SHH
600233,0.0005,圆通速递,"YTO Express Group Co.,Ltd.",SHH
600256,0.0012,广汇能源,"GUANGHUI ENERGY CO., LTD.",SHH
600271,0.0022,航天信息,"Aisino Co.,Ltd",SHH
600276,0.0097,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,SHH
600297,0.0016,广汇汽车,"China Grand Automotive Services Co., Ltd.",SHH
600309,0.0046,万华化学,"Wanhua Chemical Group Co., Ltd.",SHH
600332,0.0016,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,SHH
600340,0.0033,华夏幸福,"China Fortune Land Development Co., Ltd.",SHH
600352,0.0022,浙江龙盛,Zhejiang Longsheng Group Co Ltd,SHH
600362,0.0017,江西铜业,Jiangxi Copper Co Ltd,SHH
600369,0.0013,西南证券,Southwest Securities Co Ltd,SHH
600372,0.0007,中航电子,"CHINA AVIONICS SYSTEMS CO.,LTD.",SHH
600373,0.0009,中文传媒,Chinese Universe Publishing And Media Co Ltd,SHH
600376,0.0009,首开股份,"Beijing Capital Development Co.,Ltd.",SHH
600383,0.0025,金地集团,Gemdale Corporation,SHH
600406,0.0024,国电南瑞,"NARI Technology Co., Ltd.",SHH
600415,0.0015,小商品城,Zhejiang China Commodities City Group Co Ltd,SHH
600436,0.0016,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,SHH
600446,0.0007,金证股份,Shenzhen Kingdom Technology Co Ltd,SHH
600482,0.0008,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",SHH
600485,0.0023,信威集团,"Beijing Xinwei Telecom Technology Group Co., Ltd.",SHH
600489,0.0015,中金黄金,Zhongjin Gold Co Ltd,SHH
600498,0.0015,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,SHH
600518,0.0055,康美药业,Kangmei Pharmaceutical Co Ltd,SHH
600519,0.0279,贵州茅台,Kweichow Moutai Co Ltd,SHH
600522,0.0028,中天科技,Jiangsu Zhongtian Technologies Co Ltd,SHH
600535,0.0021,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",SHH
600547,0.002,山东黄金,Shandong Gold-Mining Co Ltd,SHH
600549,0.001,厦门钨业,Xiamen Tungsten Co Ltd,SHH
600570,0.002,恒生电子,Hundsun Technologies Inc.,SHH
600583,0.0012,海油工程,Offshore Oil Engineering Co Ltd,SHH
600585,0.0055,海螺水泥,Anhui Conch Cement Co Ltd,SHH
600588,0.0013,用友网络,"Yonyou Network Technology Co., Ltd.",SHH
600606,0.0023,绿地控股,Greenland Holdings Corporation Limited,SHH
600637,0.0021,东方明珠,"Shanghai Oriental Pearl Media Co., Ltd.",SHH
600649,0.001,城投控股,"Shanghai Chengtou Holding Co., Ltd.",SHH
600660,0.0032,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",SHH
600663,0.0014,陆家嘴,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,SHH
600674,0.0019,川投能源,Sichuan Chuantou Energy Co Ltd,SHH
600682,0.0015,南京新百,Nanjing Xinjiekou Department Store Co Ltd,SHH
600685,0.0008,中船防务,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,SHH
600688,0.0012,上海石化,Sinopec Shanghai Petrochemical Co Ltd,SHH
600690,0.0046,青岛海尔,Qingdao Haier Co Ltd,SHH
600703,0.0052,三安光电,"Sanan Optoelectronics Co.,Ltd",SHH
600704,0.0011,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,SHH
600705,0.0024,中航资本,"AVIC CAPITAL CO.,LTD.",SHH
600718,0.0012,东软集团,Neusoft Corporation,SHH
600737,0.0008,中粮糖业,"COFCO TUNHE SUGAR CO.,LTD.",SHH
600739,0.0019,辽宁成大,Liaoning Cheng Da Co Ltd,SHH
600741,0.0035,华域汽车,HUAYU Automotive Systems Company Limited,SHH
600795,0.0035,国电电力,GD Power Development Co Ltd,SHH
600804,0.002,鹏博士,"DR. PENG TELECOM&MEDIA GROUP CO., LTD.",SHH
600816,0.0022,安信信托,"Anxin Trust Co., Ltd",SHH
600820,0.0015,隧道股份,Shanghai Tunnel Engineering Co Ltd,SHH
600827,0.0009,百联股份,"Shanghai Bailian Group Co.,Ltd.",SHH
600837,0.0102,海通证券,Haitong Securities Company Limited,SHH
600871,0.0005,石化油服,Sinopec Oilfield Service Corporation,SHH
600886,0.0027,国投电力,"SDIC Power Holdings Co.,Ltd.",SHH
600887,0.0153,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,SHH
600893,0.0022,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,SHH
600895,0.0011,张江高科,Shanghai Zhangjiang Hi-tech Park Development Co Ltd,SHH
600900,0.0096,长江电力,China Yangtze Power Co Ltd,SHH
600909,0.0008,华安证券,"HUAAN SECURITIES CO., LTD.",SHH
600919,0.0009,江苏银行,"Bank of Jiangsu Co., Ltd",SHH
600926,0.0004,杭州银行,"BANK OF HANGZHOU CO., LTD",SHH
600958,0.0043,东方证券,ORIENT SECURITIES COMPANY LIMITED,SHH
600959,0.0012,江苏有线,Jiangsu Broadcasting Cable Information Network Corporation Limited,SHH
600977,0.0007,中国电影,"CHINA FILM CO., LTD.",SHH
600999,0.0039,招商证券,China Merchants Securities Co Ltd,SHH
601006,0.0046,大秦铁路,Daqin Railway Co Ltd,SHH
601009,0.0037,南京银行,Bank of Nanjing Co Ltd,SHH
601018,0.002,宁波港,Ningbo Port Co Ltd,SHH
601021,0.0008,春秋航空,"Spring Airlines Co., Ltd.",SHH
601088,0.0041,中国神华,China Shenhua Energy Co Ltd,SHH
601099,0.0023,太平洋,The Pacific Securities Co.Ltd,SHH
601111,0.002,中国国航,Air China Ltd,SHH
