Date,Index Code,Index Name,Index Name(Eng.),Constituent Code,Constituent Name,Constituent Name(Eng.),Exchange,(%)Weight(%)
2017-11-30,000300,沪深300,CSI 300,600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,SHH,1.28
2017-11-30,000300,沪深300,CSI 300,600008,首创股份,Beijing Capital Co Ltd,SHH,0.11
2017-11-30,000300,沪深300,CSI 300,600009,上海机场,Shanghai International Airport Co Ltd,SHH,0.35
2017-11-30,000300,沪深300,CSI 300,600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,SHH,0.31
2017-11-30,000300,沪深300,CSI 300,600015,华夏银行,Hua Xia Bank Co Ltd,SHH,0.52
2017-11-30,000300,沪深300,CSI 300,600016,民生银行,China Minsheng Banking Corp Ltd,SHH,1.84
2017-11-30,000300,沪深300,CSI 300,600018,上港集团,Shanghai International Port (Group) Co Ltd,SHH,0.21
2017-11-30,000300,沪深300,CSI 300,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,SHH,0.73
2017-11-30,000300,沪深300,CSI 300,600021,上海电力,Shanghai Electric Power Co Ltd,SHH,0.07
2017-11-30,000300,沪深300,CSI 300,600023,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd.",SHH,0.19
2017-11-30,000300,沪深300,CSI 300,600028,中国石化,China Petroleum & Chemical Corporation,SHH,0.56
2017-11-30,000300,沪深300,CSI 300,600029,南方航空,China Southern Airlines Co Ltd,SHH,0.34
2017-11-30,000300,沪深300,CSI 300,600030,中信证券,CITIC Securities Co Ltd,SHH,1.33
2017-11-30,000300,沪深300,CSI 300,600031,三一重工,Sany Heavy Industry Co Ltd,SHH,0.3
2017-11-30,000300,沪深300,CSI 300,600036,招商银行,China Merchants Bank Co Ltd,SHH,2.63
2017-11-30,000300,沪深300,CSI 300,600037,歌华有线,Beijing Gehua CATV Network Co Ltd,SHH,0.09
2017-11-30,000300,沪深300,CSI 300,600038,中直股份,"AVIC Helicopter Co.,Ltd.",SHH,0.09
2017-11-30,000300,沪深300,CSI 300,600048,保利地产,Poly Real Estate Group Co Ltd,SHH,0.79
2017-11-30,000300,沪深300,CSI 300,600050,中国联通,China United Network Communications Co Ltd,SHH,0.56
2017-11-30,000300,沪深300,CSI 300,600060,海信电器,Hisense Electric Co Ltd,SHH,0.11
2017-11-30,000300,沪深300,CSI 300,600061,国投资本,"SDIC Capital Co., Ltd",SHH,0.11
2017-11-30,000300,沪深300,CSI 300,600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,SHH,0.28
2017-11-30,000300,沪深300,CSI 300,600068,葛洲坝,China Gezhouba Group Co Ltd,SHH,0.22
2017-11-30,000300,沪深300,CSI 300,600074,ST保千里,"Jiangsu Protruly Vision Technology Group Co., Ltd.",SHH,0.09
2017-11-30,000300,沪深300,CSI 300,600085,同仁堂,Beijing Tongrentang Co Ltd,SHH,0.16
2017-11-30,000300,沪深300,CSI 300,600089,特变电工,TBEA Co Ltd,SHH,0.33
2017-11-30,000300,沪深300,CSI 300,600100,同方股份,Tsinghua Tongfang Co Ltd,SHH,0.17
2017-11-30,000300,沪深300,CSI 300,600104,上汽集团,SAIC Motor Co Ltd,SHH,0.95
2017-11-30,000300,沪深300,CSI 300,600109,国金证券,Sinolink Securities Co. Ltd.,SHH,0.2
2017-11-30,000300,沪深300,CSI 300,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",SHH,0.27
2017-11-30,000300,沪深300,CSI 300,600115,东方航空,China Eastern Airlines Corp Ltd,SHH,0.19
2017-11-30,000300,沪深300,CSI 300,600118,中国卫星,China Spacesat Co Ltd,SHH,0.13
2017-11-30,000300,沪深300,CSI 300,600150,中国船舶,China CSSC Holdings Limited,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,600153,建发股份,Xiamen C&D Inc,SHH,0.14
2017-11-30,000300,沪深300,CSI 300,600157,永泰能源,Wintime Energy Co Ltd,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,600170,上海建工,Shanghai Construction Co Ltd,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,600177,雅戈尔,Youngor Group Co Ltd,SHH,0.18
2017-11-30,000300,沪深300,CSI 300,600188,兖州煤业,Yanzhou Coal Mining Co Ltd,SHH,0.05
2017-11-30,000300,沪深300,CSI 300,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,SHH,0.32
2017-11-30,000300,沪深300,CSI 300,600208,新湖中宝,Xinhu Zhongbao Co Ltd,SHH,0.19
2017-11-30,000300,沪深300,CSI 300,600221,海航控股,"Hainan Airlines Holding Co., Ltd.",SHH,0.18
2017-11-30,000300,沪深300,CSI 300,600233,圆通速递,"YTO Express Group Co.,Ltd.",SHH,0.05
2017-11-30,000300,沪深300,CSI 300,600256,广汇能源,"GUANGHUI ENERGY CO., LTD.",SHH,0.12
2017-11-30,000300,沪深300,CSI 300,600271,航天信息,"Aisino Co.,Ltd",SHH,0.22
2017-11-30,000300,沪深300,CSI 300,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,SHH,0.97
2017-11-30,000300,沪深300,CSI 300,600297,广汇汽车,"China Grand Automotive Services Co., Ltd.",SHH,0.16
2017-11-30,000300,沪深300,CSI 300,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",SHH,0.46
2017-11-30,000300,沪深300,CSI 300,600332,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,SHH,0.16
2017-11-30,000300,沪深300,CSI 300,600340,华夏幸福,"China Fortune Land Development Co., Ltd.",SHH,0.33
2017-11-30,000300,沪深300,CSI 300,600352,浙江龙盛,Zhejiang Longsheng Group Co Ltd,SHH,0.22
2017-11-30,000300,沪深300,CSI 300,600362,江西铜业,Jiangxi Copper Co Ltd,SHH,0.17
2017-11-30,000300,沪深300,CSI 300,600369,西南证券,Southwest Securities Co Ltd,SHH,0.13
2017-11-30,000300,沪深300,CSI 300,600372,中航电子,"CHINA AVIONICS SYSTEMS CO.,LTD.",SHH,0.07
2017-11-30,000300,沪深300,CSI 300,600373,中文传媒,Chinese Universe Publishing And Media Co Ltd,SHH,0.09
2017-11-30,000300,沪深300,CSI 300,600376,首开股份,"Beijing Capital Development Co.,Ltd.",SHH,0.09
2017-11-30,000300,沪深300,CSI 300,600383,金地集团,Gemdale Corporation,SHH,0.25
2017-11-30,000300,沪深300,CSI 300,600406,国电南瑞,"NARI Technology Co., Ltd.",SHH,0.24
